🕘️更新时间,#genre#
2026-08-11 18:54:19,http://204.12.221.218:8181/3m1080p/cctv1.m3u8

📺央视频道,#genre#
CCTV-1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV-1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3,http://121.57.88.206:898/hls/3/index.m3u8
CCTV-3,http://hczn.x3322.net:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://bztv.tvbus.cc:8081/cdnlive/cctv3.m3u8
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV-4,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-4,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV-5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://153.0.171.163:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8
CCTV-6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV-6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV-8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd
CCTV-8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV-9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV-9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV-9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd
CCTV-10,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-10,http://204.12.221.218:8181/3m1080p/cctv10.m3u8
CCTV-10,http://bztv.tvbus.cc:8081/cdnlive/cctv10.m3u8
CCTV-10,http://198.204.228.26/live/cctv10hd.m3u8
CCTV-10,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV-11,http://198.204.228.26/live/cctv11hd.m3u8
CCTV-11,http://204.12.221.218:8181/3m1080p/cctv11.m3u8
CCTV-11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV-13,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd
CCTV-13,http://bztv.tvbus.cc:8081/cdnlive/cctv13.m3u8
CCTV-13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV-13,http://113.57.140.161:10081/newlive/live/hls/14/live.m3u8
